card_no,holder,cnic,balance,status
6273848113593479,Sana Malik,41453-9893990-1,174,ACTIVE
6273847433867183,Laiba Nawaz,86515-9446751-5,2784,ACTIVE
6273847977376119,Imran Sultan,47644-2086479-2,4848,ACTIVE
6273847378478403,Nimra Siddiqui,10512-5987876-9,1413,ACTIVE
6273849264850322,Laiba Bashir,83629-3780917-6,300,ACTIVE
6273845694225639,Nimra Butt,68229-5944419-5,3915,ACTIVE
6273847324647655,Laiba Nawaz,71030-3292296-4,1686,ACTIVE
6273849404161108,Zainab Ahmed,29634-4260199-9,353,ACTIVE
6273844588064701,Hassan Sultan,72626-8083810-2,2394,ACTIVE
6273848312169110,Hassan Nawaz,43484-6320893-5,2956,ACTIVE
6273841201712646,Farhan Khan,26698-3941090-7,1511,ACTIVE
6273849950961746,Hassan Mirza,52798-5113770-9,362,ACTIVE
6273847875170416,Danish Rashid,49020-2028057-6,1378,ACTIVE
6273849051036769,Usman Iqbal,64824-6699079-6,165,BLOCKED
6273844624428785,Sadia Zafar,17348-8331286-4,2808,ACTIVE
6273843154261482,Bilal Iqbal,99809-8199355-3,5000,ACTIVE
6273845863530109,Noor Qureshi,59452-8530899-3,2396,ACTIVE
6273842653600338,Nimra Mirza,28827-8588193-5,1044,BLOCKED
6273847336617628,Sana Zafar,53691-1241181-7,2974,ACTIVE
6273846128575152,Zainab Butt,30127-4583625-9,4229,BLOCKED
6273843209811040,Zainab Bashir,85592-8405208-9,3433,ACTIVE
6273845605243655,Rabia Aslam,36629-8005308-9,3085,ACTIVE
6273845292898173,Hira Chaudhry,80307-7396417-6,2399,ACTIVE
6273846241814397,Imran Zafar,81011-9511934-9,3353,ACTIVE
6273841201289020,Owais Sheikh,44725-3362933-8,1163,ACTIVE
6273847949887669,Amna Sheikh,96543-2164803-2,3172,ACTIVE
6273845847736937,Tariq Khan,34951-9004741-3,2732,BLOCKED
6273844685447467,Ahmed Bashir,59001-1859778-9,4141,ACTIVE
6273848005807308,Shahid Malik,73721-6367522-5,582,ACTIVE
6273842762928693,Owais Mirza,15976-7814682-1,2777,ACTIVE
6273849659370533,Hira Malik,60765-4171771-7,3957,ACTIVE
6273844680019225,Umar Bashir,87519-4903225-5,3004,ACTIVE
6273842107997181,Adnan Butt,23700-7151075-1,4417,ACTIVE
6273849644777355,Danish Malik,28090-2143388-3,1134,ACTIVE
6273846317417708,Hina Zafar,68133-2065684-7,4838,ACTIVE
6273841571486421,Rabia Sheikh,10254-4587177-2,2809,ACTIVE
6273848528025374,Umar Aslam,73310-1139301-3,4224,ACTIVE
6273845170978045,Amna Zafar,59115-1710685-7,651,ACTIVE
6273842875188787,Ayesha Sultan,18050-4040683-3,3863,ACTIVE
6273846141419202,Rabia Malik,21535-3819451-7,1913,ACTIVE
6273843611022870,Hassan Farooq,32134-4902499-6,4764,ACTIVE
6273847292143395,Iqra Zafar,62831-3883274-9,3702,ACTIVE
6273846645732565,Sadia Khan,29765-5354298-5,638,ACTIVE
6273844476701505,Junaid Iqbal,20940-5433307-7,4035,ACTIVE
6273848734895857,Sadia Aslam,25491-1838120-8,2529,ACTIVE
6273848131914069,Danish Chaudhry,89092-8792063-5,4362,ACTIVE
6273849693418911,Fatima Sultan,38680-3352777-1,836,ACTIVE
6273849163257026,Sadia Malik,99599-7838202-9,4854,ACTIVE
6273843051425369,Ahmed Nawaz,77067-9464498-4,4405,ACTIVE
6273844526629134,Hina Rashid,88874-3312229-8,1336,ACTIVE
6273843917178249,Mehwish Javed,75962-2589561-3,3745,ACTIVE
6273846642271276,Iqra Mirza,43734-1934074-1,3840,ACTIVE
6273841819580758,Sana Iqbal,89959-9072611-2,4226,ACTIVE
6273849774171064,Farhan Aslam,79756-7463282-4,1875,ACTIVE
6273848393259332,Laiba Aslam,40001-4294981-6,3570,ACTIVE
6273844756385698,Hira Zafar,35150-8741378-3,4602,ACTIVE
6273844271000605,Maryam Zafar,39914-3060468-6,4547,ACTIVE
6273847108248999,Hassan Ahmed,13222-5987263-5,2345,ACTIVE
6273848792916311,Bilal Rashid,88684-1803363-3,3797,ACTIVE
6273846375163519,Ahmed Rashid,80555-3900020-9,2630,ACTIVE
6273849601650101,Rabia Chaudhry,81772-8255429-1,3697,BLOCKED
6273843284130232,Bilal Iqbal,91000-3955361-5,1393,ACTIVE
6273846643844154,Danish Sheikh,95219-2911460-9,145,ACTIVE
6273845340554025,Nimra Bashir,90706-9007378-1,1338,ACTIVE
6273844065689050,Usman Raza,10713-5072455-9,545,ACTIVE
6273842634397652,Kashif Sultan,31197-9616113-8,3948,ACTIVE
6273843004548346,Iqra Ahmed,79386-3397247-6,3818,ACTIVE
6273848236112937,Adnan Mirza,93001-1100111-4,2355,ACTIVE
6273847196519283,Nimra Zafar,20486-1365117-9,1122,ACTIVE
6273848068010012,Usman Ahmed,31323-1417756-1,295,ACTIVE
6273841700618039,Amna Qureshi,69072-8886741-6,2096,ACTIVE
6273842921451511,Mehwish Rashid,89781-1239612-2,38,ACTIVE
6273844156969478,Danish Butt,67949-6026085-5,1739,ACTIVE
6273843846495989,Usman Chaudhry,45117-7742886-8,1508,ACTIVE
6273842163064027,Nimra Siddiqui,96528-5748919-2,2487,ACTIVE
6273841808155202,Usman Sultan,71074-8744273-9,939,ACTIVE
6273849183074225,Kashif Rashid,54765-4719174-4,4564,ACTIVE
6273845739019200,Shahid Bashir,99147-4118627-8,3912,ACTIVE
6273848728404679,Nimra Butt,89309-1267908-2,4060,ACTIVE
6273844892617524,Junaid Hussain,53322-9208698-2,3785,ACTIVE
6273849387446434,Noor Qureshi,45196-1515013-6,2702,ACTIVE
6273844326459820,Mehwish Mirza,35473-6139365-9,664,ACTIVE
6273842909434480,Laiba Ahmed,97918-3842912-2,912,ACTIVE
6273842233304104,Umar Javed,64604-5873866-3,2236,ACTIVE
6273849535835630,Hina Hussain,74723-5089632-6,1373,ACTIVE
6273841861312659,Shahid Qureshi,48451-6331220-6,4719,ACTIVE
6273842313498209,Sadia Sultan,89240-8829491-5,2847,ACTIVE
6273844801211589,Sana Chaudhry,42480-1401256-2,4305,ACTIVE
6273845137081271,Bilal Siddiqui,59161-4580931-1,3960,ACTIVE
6273846210263282,Bilal Chaudhry,44588-8428119-4,891,ACTIVE
6273846466175116,Sana Sultan,57034-3436714-8,500,ACTIVE
6273842922521746,Mehwish Hussain,25553-5511494-3,3989,ACTIVE
6273848763979482,Junaid Nawaz,96030-5888865-7,4000,ACTIVE
6273847505858693,Imran Bashir,93684-9719201-3,2003,ACTIVE
6273841190539060,Hira Sultan,59670-2586578-1,139,ACTIVE
6273845655932536,Ayesha Raza,23209-5779795-6,2360,ACTIVE
6273842778068678,Iqra Malik,28602-4497536-7,1069,ACTIVE
6273847996327692,Rabia Khan,46731-6077498-5,3100,ACTIVE
6273845457644872,Hina Zafar,35359-8046910-8,2371,ACTIVE
6273849431094186,Sana Chaudhry,83117-2907613-6,3255,ACTIVE
6273841310798654,Kashif Butt,69677-4783261-9,3801,ACTIVE
6273841382781596,Sana Hussain,94130-6954709-4,2748,ACTIVE
6273842705519573,Usman Nawaz,46715-6067070-3,1812,ACTIVE
6273842287192937,Rabia Sultan,96080-5981493-5,2168,ACTIVE
6273849034565943,Junaid Ahmed,76975-7300556-6,2195,ACTIVE
6273846786397175,Mehwish Chaudhry,86051-9057886-3,2590,ACTIVE
6273844944000140,Asad Ahmed,72359-8200110-2,222,ACTIVE
6273842497403247,Hira Butt,87300-6211162-2,1832,ACTIVE
6273843118957114,Owais Iqbal,53277-4821432-2,1936,ACTIVE
6273841066920321,Owais Nawaz,81987-2027594-5,3154,ACTIVE
6273842168734845,Mehwish Malik,81549-3837686-9,4787,ACTIVE
6273846062056610,Umar Bashir,86583-4657421-7,4939,ACTIVE
6273842105948713,Laiba Chaudhry,39076-6892272-9,4991,ACTIVE
6273846276066978,Owais Malik,81791-1862473-5,4671,ACTIVE
6273842551373144,Adnan Farooq,74278-1696940-4,564,ACTIVE
6273845368500885,Shahid Malik,90359-7495191-2,2318,ACTIVE
6273845703182167,Tariq Qureshi,71312-8777289-1,3490,ACTIVE
6273845931767966,Rabia Ahmed,82551-4526691-7,2084,ACTIVE
6273846298528866,Ahmed Hussain,75637-2646635-5,2360,ACTIVE
6273849623641416,Hassan Mirza,11958-7081831-8,4361,ACTIVE
6273843044613547,Adnan Mirza,54334-3336242-1,73,ACTIVE
6273843678633130,Maryam Khan,50568-6140121-9,1390,BLOCKED
6273849991130089,Asad Aslam,58020-6428392-6,1717,ACTIVE
6273849473738483,Ahmed Sheikh,88000-7413720-5,190,ACTIVE
6273849919474262,Hina Siddiqui,94247-9954640-4,2882,ACTIVE
6273846281250859,Maryam Iqbal,40239-2941692-7,2674,ACTIVE
6273849656191520,Mehwish Sheikh,24707-1795350-3,4997,ACTIVE
6273848664720376,Mehwish Chaudhry,71241-7640827-2,3736,ACTIVE
6273844475808522,Sana Sultan,18994-1580730-3,4262,ACTIVE
6273841738393501,Rabia Farooq,95598-4299172-5,438,ACTIVE
6273842696052989,Ahmed Aslam,61316-7112771-1,4815,ACTIVE
6273844622526014,Fatima Ahmed,50229-8757910-9,2345,ACTIVE
6273843513185325,Hassan Ahmed,43720-7688875-5,4162,ACTIVE
6273841329581668,Junaid Butt,35963-8397403-9,1570,ACTIVE
6273843615334727,Fatima Iqbal,91285-1824374-8,4392,ACTIVE
6273849984481756,Sadia Nawaz,52007-5507653-7,295,ACTIVE
6273844425651025,Bilal Sultan,87098-6159409-6,1632,ACTIVE
6273844854879116,Junaid Sheikh,19419-8296340-4,2366,BLOCKED
6273849678563541,Sadia Ahmed,24439-1382312-7,4063,ACTIVE
6273847848530971,Usman Khan,85263-3153186-8,2421,ACTIVE
6273848513083517,Laiba Sultan,94370-8337726-6,1903,ACTIVE
6273847231261965,Danish Mirza,93398-4329724-3,1100,BLOCKED
6273848879183116,Amna Qureshi,38056-3762889-8,2040,ACTIVE
6273842920766006,Danish Malik,52869-7847452-7,3960,ACTIVE
6273842142754535,Ayesha Nawaz,34284-2928437-5,2106,ACTIVE
6273842303515736,Asad Raza,80141-5506527-3,432,ACTIVE
6273841651929560,Rabia Sheikh,85846-5051245-5,4192,ACTIVE
6273841950381066,Imran Farooq,36572-2656451-8,4931,ACTIVE
6273847252501204,Sana Farooq,13228-4387539-4,3921,ACTIVE
6273846231896622,Usman Khan,31706-1831423-2,4010,ACTIVE
6273841379152374,Sana Khan,75441-8229587-3,2451,ACTIVE
6273847953298341,Laiba Ahmed,91157-9172729-4,2986,BLOCKED
6273846127444011,Adnan Khan,72374-7342255-5,908,ACTIVE
6273847386794483,Adnan Iqbal,54692-1103813-3,1608,ACTIVE
6273847840789544,Iqra Zafar,86164-3539521-5,2145,ACTIVE
6273847325940585,Farhan Rashid,38738-2188494-4,383,ACTIVE
6273843946686307,Hina Javed,32539-2247256-6,2509,ACTIVE
6273845724137613,Nimra Rashid,68712-5516495-6,2707,ACTIVE
6273849978559528,Hira Siddiqui,32219-2924021-9,2956,ACTIVE
6273843046963720,Hassan Butt,50522-3689531-4,1545,ACTIVE
6273842884293354,Danish Rashid,84753-4915600-8,3961,ACTIVE
6273846349916239,Owais Rashid,99708-7091934-6,1629,ACTIVE
6273841539788915,Maryam Hussain,17535-2123841-3,686,ACTIVE
6273843477111959,Danish Khan,21086-9915988-3,918,ACTIVE
6273841117714124,Asad Rashid,10238-5576355-9,3164,ACTIVE
6273847345303836,Farhan Malik,97902-5023816-4,2868,BLOCKED
6273847488256121,Tariq Mirza,56975-4232348-6,953,ACTIVE
6273849644807772,Adnan Iqbal,43544-7080369-3,1866,ACTIVE
6273844309512090,Danish Malik,69937-8844896-6,3343,ACTIVE
6273848783225771,Laiba Malik,92792-5923628-3,2596,ACTIVE
6273849760237827,Ayesha Malik,18195-4641879-4,1246,ACTIVE
6273849936617827,Ahmed Sheikh,13116-2153198-9,1871,ACTIVE
6273843676711479,Kashif Javed,99973-2430169-4,109,ACTIVE
6273842400883320,Ayesha Nawaz,27301-5994423-9,3262,ACTIVE
6273846755576472,Maryam Malik,90672-3517926-9,1757,ACTIVE
6273847382161594,Zainab Javed,27965-9512545-3,2548,ACTIVE
6273849589988163,Amna Chaudhry,54808-8618548-2,1839,ACTIVE
6273846523514546,Umar Sheikh,99486-3587662-6,4312,ACTIVE
6273848629062270,Imran Aslam,68470-6697196-9,2234,ACTIVE
6273848557829036,Fatima Nawaz,28232-6122542-7,4168,ACTIVE
6273845332535015,Kashif Bashir,88445-7539619-6,2434,ACTIVE
6273846984694062,Farhan Aslam,75624-2750265-2,2405,ACTIVE
6273849965264686,Hira Ahmed,20599-1396739-1,4607,ACTIVE
6273847203863948,Tariq Bashir,33929-5999999-5,2231,ACTIVE
6273846552192854,Junaid Hussain,94450-7562315-7,4165,BLOCKED
6273844427874066,Sana Khan,84567-6087942-8,381,ACTIVE
6273844194116629,Owais Butt,83906-8587615-6,3155,ACTIVE
6273848878474696,Hassan Hussain,27753-9208622-5,2677,ACTIVE
6273842285174795,Adnan Butt,10578-5574558-1,4823,ACTIVE
6273846975626950,Ayesha Chaudhry,79024-2556902-2,3043,BLOCKED
6273845884304187,Hira Sheikh,66686-9480084-9,1711,ACTIVE
6273843339765442,Iqra Sheikh,23143-2117853-9,2362,ACTIVE
6273844494490000,Maryam Sheikh,41700-9242447-2,229,ACTIVE
6273849029110310,Farhan Hussain,57277-7443323-4,2020,ACTIVE
6273844905723423,Maryam Sheikh,81478-4365099-3,2544,ACTIVE
6273847209002604,Hira Mirza,19960-5683712-1,4750,ACTIVE
6273846950327848,Ahmed Rashid,40067-6760782-9,2784,ACTIVE
6273849265107798,Iqra Qureshi,27252-7732359-1,1302,ACTIVE
6273848400163039,Noor Qureshi,43143-8460542-5,1262,ACTIVE
