journey_id,card_no,in_code,out_code,in_time,out_time,fare
1,6273849246344813,157,536,2026-03-01 05:00:00,2026-03-01 05:41:00,132
2,6273847056844096,561,395,2026-03-01 05:00:00,2026-03-01 05:44:00,84
3,6273844017717934,423,180,2026-03-01 05:00:00,2026-03-01 05:15:00,84
4,6273842494717328,536,425,2026-03-01 05:00:00,2026-03-01 05:11:00,52
5,6273845726724712,486,423,2026-03-01 05:00:00,2026-03-01 05:30:00,44
6,6273843496260602,597,820,2026-03-01 05:00:00,2026-03-01 05:43:00,52
7,6273841993787901,947,597,2026-03-01 05:00:00,2026-03-01 05:04:00,100
8,6273847659202756,830,395,2026-03-01 05:00:00,2026-03-01 05:12:00,140
9,6273844879515141,320,597,2026-03-01 05:00:00,2026-03-01 05:18:00,108
10,6273846448342522,198,860,2026-03-01 05:00:00,2026-03-01 05:43:00,196
11,6273849769529760,820,400,2026-03-01 05:00:00,2026-03-01 05:30:00,124
12,6273842622905515,830,947,2026-03-01 05:01:00,2026-03-01 05:40:00,60
13,6273848349204953,852,288,2026-03-01 05:01:00,2026-03-01 05:14:00,172
14,6273846600115867,947,400,2026-03-01 05:01:00,2026-03-01 05:14:00,172
15,6273848196566851,425,395,2026-03-01 05:01:00,2026-03-01 05:14:00,44
16,6273842608871071,998,673,2026-03-01 05:01:00,2026-03-01 05:43:00,100
17,6273847998652598,237,140,2026-03-01 05:01:00,2026-03-01 05:12:00,60
18,6273849531173999,813,140,2026-03-01 05:01:00,2026-03-01 05:13:00,188
19,6273843961449050,561,860,2026-03-01 05:01:00,2026-03-01 05:08:00,100
20,6273842893659988,813,536,2026-03-01 05:01:00,2026-03-01 05:40:00,68
21,6273845975450223,490,906,2026-03-01 05:01:00,2026-03-01 05:24:00,124
22,6273842999643068,906,486,2026-03-01 05:01:00,2026-03-01 05:32:00,132
23,6273847344191429,561,490,2026-03-01 05:01:00,2026-03-01 05:38:00,36
24,6273846976976801,597,400,2026-03-01 05:01:00,2026-03-01 05:20:00,92
25,6273845203411162,998,595,2026-03-01 05:02:00,2026-03-01 05:16:00,116
26,6273846221841335,830,490,2026-03-01 05:02:00,2026-03-01 05:36:00,92
27,6273847381761957,830,673,2026-03-01 05:02:00,2026-03-01 05:09:00,52
28,6273842524912335,947,673,2026-03-01 05:02:00,2026-03-01 05:46:00,92
29,6273845062888260,486,400,2026-03-01 05:02:00,2026-03-01 05:43:00,52
30,6273843463793282,852,813,2026-03-01 05:02:00,2026-03-01 05:16:00,52
31,6273847058569541,673,830,2026-03-01 05:02:00,2026-03-01 05:47:00,52
32,6273841644039926,198,597,2026-03-01 05:02:00,2026-03-01 05:06:00,132
33,6273846301489339,745,998,2026-03-01 05:02:00,2026-03-01 05:09:00,92
34,6273846559917545,288,820,2026-03-01 05:02:00,2026-03-01 05:35:00,148
35,6273844340729856,288,998,2026-03-01 05:02:00,2026-03-01 05:11:00,204
36,6273844910417181,597,595,2026-03-01 05:02:00,2026-03-01 05:17:00,28
37,6273844384744552,830,947,2026-03-01 05:02:00,2026-03-01 05:40:00,60
